,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,-0.18278618424946497,0.07191063214028474,0.9999999999999998,0.9999999999999998,0.6377162537904199,0.6377162537904194,0.63771625379042,0.6377162537904196,0.6377162537904196
"Влажность,  %",-0.18278618424946497,1.0,0.14541950620785551,-0.18278618424946505,-0.18278618424946505,-0.2866261964675208,-0.2866261964675209,-0.28662619646752213,-0.2866261964675222,-0.2866261964675214
"Плотность, г/см^3",0.07191063214028474,0.14541950620785551,1.0,0.07191063214028488,0.07191063214028488,0.11276274003190001,0.11276274003189708,0.11276274003189736,0.11276274003189822,0.11276274003189761
"Усилие пенетрации, P",0.9999999999999998,-0.18278618424946505,0.07191063214028488,1.0,1.0,0.6377162537904196,0.6377162537904194,0.6377162537904189,0.6377162537904199,0.6377162537904202
"Сопротивление пенетрации, Ew",0.9999999999999998,-0.18278618424946505,0.07191063214028488,1.0,1.0,0.6377162537904196,0.6377162537904194,0.6377162537904189,0.6377162537904199,0.6377162537904202
Удельное сцепление грунта,0.6377162537904199,-0.2866261964675208,0.11276274003190001,0.6377162537904196,0.6377162537904196,1.0,0.9999999999999993,0.9999999999999997,0.9999999999999994,0.9999999999999998
"Модуль упругости, Eу",0.6377162537904194,-0.2866261964675209,0.11276274003189708,0.6377162537904194,0.6377162537904194,0.9999999999999993,1.0,0.9999999999999993,0.9999999999999997,0.9999999999999992
"Модуль упругости, E (Мпа)",0.63771625379042,-0.28662619646752213,0.11276274003189736,0.6377162537904189,0.6377162537904189,0.9999999999999997,0.9999999999999993,1.0,1.0000000000000002,1.0000000000000004
"Модуль деформации, E",0.6377162537904196,-0.2866261964675222,0.11276274003189822,0.6377162537904199,0.6377162537904199,0.9999999999999994,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999994
"Индекс конуса, CI (кПа)",0.6377162537904196,-0.2866261964675214,0.11276274003189761,0.6377162537904202,0.6377162537904202,0.9999999999999998,0.9999999999999992,1.0000000000000004,0.9999999999999994,1.0
