,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,-0.0878824354169494,-0.04921887690886924,0.9999999999999996,0.9999999999999996,0.3336976252025766,0.33369762520257656,0.3336976252025765,0.33369762520257645,0.3336976252025766
"Влажность,  %",-0.0878824354169494,1.0,0.4430766101591259,-0.08788243541694986,-0.08788243541694986,-0.2633594870913393,-0.2633594870913404,-0.2633594870913424,-0.2633594870913416,-0.2633594870913425
"Плотность, г/см^3",-0.04921887690886924,0.4430766101591259,1.0,-0.049218876908869134,-0.049218876908869134,-0.14749543656173578,-0.14749543656173755,-0.14749543656173864,-0.14749543656173913,-0.14749543656173747
"Усилие пенетрации, P",0.9999999999999996,-0.08788243541694986,-0.049218876908869134,1.0,1.0,0.3336976252025767,0.3336976252025768,0.3336976252025767,0.33369762520257645,0.33369762520257673
"Сопротивление пенетрации, Ew",0.9999999999999996,-0.08788243541694986,-0.049218876908869134,1.0,1.0,0.3336976252025767,0.3336976252025768,0.3336976252025767,0.33369762520257645,0.33369762520257673
Удельное сцепление грунта,0.3336976252025766,-0.2633594870913393,-0.14749543656173578,0.3336976252025767,0.3336976252025767,1.0,1.0000000000000004,1.0000000000000002,1.0000000000000002,0.9999999999999998
"Модуль упругости, Eу",0.33369762520257656,-0.2633594870913404,-0.14749543656173755,0.3336976252025768,0.3336976252025768,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000013,0.9999999999999997
"Модуль упругости, E (Мпа)",0.3336976252025765,-0.2633594870913424,-0.14749543656173864,0.3336976252025767,0.3336976252025767,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999996,0.9999999999999997
"Модуль деформации, E",0.33369762520257645,-0.2633594870913416,-0.14749543656173913,0.33369762520257645,0.33369762520257645,1.0000000000000002,1.0000000000000013,0.9999999999999996,1.0,1.0
"Индекс конуса, CI (кПа)",0.3336976252025766,-0.2633594870913425,-0.14749543656173747,0.33369762520257673,0.33369762520257673,0.9999999999999998,0.9999999999999997,0.9999999999999997,1.0,1.0
