,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,0.17161928968509754,0.054064930604008424,0.9999999999999996,0.9999999999999996,0.5710032243938035,0.5710032243938036,0.5710032243938035,0.5710032243938034,0.5710032243938037
"Влажность,  %",0.17161928968509754,1.0,0.45687736616549185,0.1716192896850983,0.1716192896850983,0.3005574791058198,0.3005574791058248,0.30055747910582137,0.30055747910582253,0.3005574791058253
"Плотность, г/см^3",0.054064930604008424,0.45687736616549185,1.0,0.05406493060400773,0.05406493060400773,0.09468410736455007,0.09468410736455321,0.09468410736455087,0.09468410736454876,0.09468410736455359
"Усилие пенетрации, P",0.9999999999999996,0.1716192896850983,0.05406493060400773,1.0,1.0,0.5710032243938035,0.5710032243938038,0.571003224393804,0.5710032243938032,0.5710032243938041
"Сопротивление пенетрации, Ew",0.9999999999999996,0.1716192896850983,0.05406493060400773,1.0,1.0,0.5710032243938035,0.5710032243938038,0.571003224393804,0.5710032243938032,0.5710032243938041
Удельное сцепление грунта,0.5710032243938035,0.3005574791058198,0.09468410736455007,0.5710032243938035,0.5710032243938035,1.0,0.9999999999999998,1.0000000000000007,0.9999999999999994,1.0000000000000007
"Модуль упругости, Eу",0.5710032243938036,0.3005574791058248,0.09468410736455321,0.5710032243938038,0.5710032243938038,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999996
"Модуль упругости, E (Мпа)",0.5710032243938035,0.30055747910582137,0.09468410736455087,0.571003224393804,0.571003224393804,1.0000000000000007,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000007
"Модуль деформации, E",0.5710032243938034,0.30055747910582253,0.09468410736454876,0.5710032243938032,0.5710032243938032,0.9999999999999994,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999994
"Индекс конуса, CI (кПа)",0.5710032243938037,0.3005574791058253,0.09468410736455359,0.5710032243938041,0.5710032243938041,1.0000000000000007,0.9999999999999996,1.0000000000000007,0.9999999999999994,1.0
