,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,0.17699805293391532,0.11401315100772035,1.0,1.0,0.5724753722210757,0.5724753722210743,0.5724753722210746,0.5724753722210747,0.5724753722210749
"Влажность,  %",0.17699805293391532,1.0,0.40691096021625406,0.1769980529339154,0.1769980529339154,0.3091802049880363,0.30918020498803817,0.3091802049880379,0.309180204988041,0.3091802049880401
"Плотность, г/см^3",0.11401315100772035,0.40691096021625406,1.0,0.11401315100771867,0.11401315100771867,0.19915817612446873,0.19915817612444991,0.19915817612445957,0.19915817612445652,0.1991581761244568
"Усилие пенетрации, P",1.0,0.1769980529339154,0.11401315100771867,1.0,1.0,0.5724753722210757,0.5724753722210746,0.5724753722210746,0.5724753722210745,0.5724753722210745
"Сопротивление пенетрации, Ew",1.0,0.1769980529339154,0.11401315100771867,1.0,1.0,0.5724753722210757,0.5724753722210746,0.5724753722210746,0.5724753722210745,0.5724753722210745
Удельное сцепление грунта,0.5724753722210757,0.3091802049880363,0.19915817612446873,0.5724753722210757,0.5724753722210757,1.0,1.0,1.0000000000000004,0.999999999999999,1.0000000000000004
"Модуль упругости, Eу",0.5724753722210743,0.30918020498803817,0.19915817612444991,0.5724753722210746,0.5724753722210746,1.0,1.0,1.0000000000000002,0.9999999999999996,1.0000000000000007
"Модуль упругости, E (Мпа)",0.5724753722210746,0.3091802049880379,0.19915817612445957,0.5724753722210746,0.5724753722210746,1.0000000000000004,1.0000000000000002,1.0,1.0,0.9999999999999998
"Модуль деформации, E",0.5724753722210747,0.309180204988041,0.19915817612445652,0.5724753722210745,0.5724753722210745,0.999999999999999,0.9999999999999996,1.0,1.0,1.0000000000000002
"Индекс конуса, CI (кПа)",0.5724753722210749,0.3091802049880401,0.1991581761244568,0.5724753722210745,0.5724753722210745,1.0000000000000004,1.0000000000000007,0.9999999999999998,1.0000000000000002,1.0
