,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,0.5661679678758283,0.18461990801367265,1.0,1.0,0.9880466208448644,0.9880466208448645,0.9880466208448639,0.9880466208448636,0.9880466208448645
"Влажность,  %",0.5661679678758283,1.0,0.4766768445715264,0.5661679678758283,0.5661679678758283,0.5730174628720515,0.5730174628720519,0.5730174628720519,0.5730174628720527,0.5730174628720524
"Плотность, г/см^3",0.18461990801367265,0.4766768445715264,1.0,0.18461990801367267,0.18461990801367267,0.18685343800458123,0.18685343800458157,0.186853438004582,0.18685343800458235,0.186853438004583
"Усилие пенетрации, P",1.0,0.5661679678758283,0.18461990801367267,1.0,1.0,0.9880466208448642,0.9880466208448643,0.9880466208448638,0.9880466208448646,0.9880466208448632
"Сопротивление пенетрации, Ew",1.0,0.5661679678758283,0.18461990801367267,1.0,1.0,0.9880466208448642,0.9880466208448643,0.9880466208448638,0.9880466208448646,0.9880466208448632
Удельное сцепление грунта,0.9880466208448644,0.5730174628720515,0.18685343800458123,0.9880466208448642,0.9880466208448642,1.0,1.0,1.0000000000000002,1.0,1.0000000000000007
"Модуль упругости, Eу",0.9880466208448645,0.5730174628720519,0.18685343800458157,0.9880466208448643,0.9880466208448643,1.0,1.0,1.0,0.9999999999999996,1.0000000000000002
"Модуль упругости, E (Мпа)",0.9880466208448639,0.5730174628720519,0.186853438004582,0.9880466208448638,0.9880466208448638,1.0000000000000002,1.0,1.0,1.0000000000000007,1.0
"Модуль деформации, E",0.9880466208448636,0.5730174628720527,0.18685343800458235,0.9880466208448646,0.9880466208448646,1.0,0.9999999999999996,1.0000000000000007,1.0,1.0000000000000002
"Индекс конуса, CI (кПа)",0.9880466208448645,0.5730174628720524,0.186853438004583,0.9880466208448632,0.9880466208448632,1.0000000000000007,1.0000000000000002,1.0,1.0000000000000002,1.0
