,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,0.6417131172331069,0.8422901876343887,0.9999999999999987,0.6156608329038219,0.5853220902211198,0.5853220902211176,0.5853220902211135,0.5853220902211158,0.585322090221114
"Влажность,  %",0.6417131172331069,1.0,0.6155436660849095,0.6417131172331055,0.3057091196201176,0.3160172454856792,0.31601724548567794,0.3160172454856748,0.3160172454856763,0.31601724548567395
"Плотность, г/см^3",0.8422901876343887,0.6155436660849095,1.0,0.8422901876343873,0.3343738010696068,0.34564846383352765,0.34564846383352515,0.3456484638335222,0.3456484638335233,0.3456484638335217
"Усилие пенетрации, P",0.9999999999999987,0.6417131172331055,0.8422901876343873,1.0,0.6156608329038215,0.5853220902211191,0.5853220902211187,0.5853220902211147,0.5853220902211153,0.5853220902211146
"Сопротивление пенетрации, Ew",0.6156608329038219,0.3057091196201176,0.3343738010696068,0.6156608329038215,1.0,0.9673811286794928,0.9673811286794912,0.9673811286794896,0.9673811286794918,0.9673811286794926
Удельное сцепление грунта,0.5853220902211198,0.3160172454856792,0.34564846383352765,0.5853220902211191,0.9673811286794928,1.0,1.0000000000000022,0.9999999999999994,0.999999999999999,1.0000000000000004
"Модуль упругости, Eу",0.5853220902211176,0.31601724548567794,0.34564846383352515,0.5853220902211187,0.9673811286794912,1.0000000000000022,1.0,1.0000000000000004,1.0000000000000013,0.999999999999999
"Модуль упругости, E (Мпа)",0.5853220902211135,0.3160172454856748,0.3456484638335222,0.5853220902211147,0.9673811286794896,0.9999999999999994,1.0000000000000004,1.0,1.0000000000000024,1.0000000000000016
"Модуль деформации, E",0.5853220902211158,0.3160172454856763,0.3456484638335233,0.5853220902211153,0.9673811286794918,0.999999999999999,1.0000000000000013,1.0000000000000024,1.0,0.9999999999999978
"Индекс конуса, CI (кПа)",0.585322090221114,0.31601724548567395,0.3456484638335217,0.5853220902211146,0.9673811286794926,1.0000000000000004,0.999999999999999,1.0000000000000016,0.9999999999999978,1.0
