,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,0.07987884666882236,-0.012082784786537475,0.9999999999999997,0.9999999999999997,0.651364373311778,0.6513643733117773,0.6513643733117771,0.6513643733117772,0.6513643733117768
"Влажность,  %",0.07987884666882236,1.0,0.3423687028255019,0.0798788466688224,0.0798788466688224,0.1226331220153987,0.12263312201539174,0.12263312201539299,0.122633122015391,0.12263312201539045
"Плотность, г/см^3",-0.012082784786537475,0.3423687028255019,1.0,-0.012082784786537563,-0.012082784786537563,-0.018549962634738418,-0.01854996263474458,-0.018549962634744708,-0.01854996263474555,-0.018549962634745322
"Усилие пенетрации, P",0.9999999999999997,0.0798788466688224,-0.012082784786537563,1.0,1.0,0.6513643733117773,0.6513643733117773,0.6513643733117775,0.6513643733117771,0.6513643733117769
"Сопротивление пенетрации, Ew",0.9999999999999997,0.0798788466688224,-0.012082784786537563,1.0,1.0,0.6513643733117773,0.6513643733117773,0.6513643733117775,0.6513643733117771,0.6513643733117769
Удельное сцепление грунта,0.651364373311778,0.1226331220153987,-0.018549962634738418,0.6513643733117773,0.6513643733117773,1.0,0.9999999999999992,1.0000000000000007,0.9999999999999994,0.9999999999999983
"Модуль упругости, Eу",0.6513643733117773,0.12263312201539174,-0.01854996263474458,0.6513643733117773,0.6513643733117773,0.9999999999999992,1.0,1.000000000000001,1.0000000000000007,1.0000000000000004
"Модуль упругости, E (Мпа)",0.6513643733117771,0.12263312201539299,-0.018549962634744708,0.6513643733117775,0.6513643733117775,1.0000000000000007,1.000000000000001,1.0,1.0,0.9999999999999998
"Модуль деформации, E",0.6513643733117772,0.122633122015391,-0.01854996263474555,0.6513643733117771,0.6513643733117771,0.9999999999999994,1.0000000000000007,1.0,1.0,1.0
"Индекс конуса, CI (кПа)",0.6513643733117768,0.12263312201539045,-0.018549962634745322,0.6513643733117769,0.6513643733117769,0.9999999999999983,1.0000000000000004,0.9999999999999998,1.0,1.0
