,"Значение
индикатора
пенетрометра,
мкм","Влажность,  %","Плотность, г/см^3","Усилие пенетрации, P","Сопротивление пенетрации, Ew",Удельное сцепление грунта,"Модуль упругости, Eу","Модуль упругости, E (Мпа)","Модуль деформации, E","Индекс конуса, CI (кПа)"
"Значение
индикатора
пенетрометра,
мкм",1.0,0.1784865212883699,0.12140755992071582,1.0000000000000002,1.0000000000000002,0.5715679714939218,0.5715679714939217,0.571567971493922,0.5715679714939222,0.5715679714939224
"Влажность,  %",0.1784865212883699,1.0,0.5333291437638987,0.17848652128837061,0.17848652128837061,0.3122752326759149,0.31227523267591817,0.3122752326759225,0.31227523267592017,0.3122752326759269
"Плотность, г/см^3",0.12140755992071582,0.5333291437638987,1.0,0.12140755992071563,0.12140755992071563,0.21241141207298095,0.2124114120729845,0.21241141207298841,0.21241141207298578,0.2124114120729886
"Усилие пенетрации, P",1.0000000000000002,0.17848652128837061,0.12140755992071563,1.0,1.0,0.5715679714939221,0.5715679714939224,0.5715679714939221,0.5715679714939226,0.5715679714939226
"Сопротивление пенетрации, Ew",1.0000000000000002,0.17848652128837061,0.12140755992071563,1.0,1.0,0.5715679714939221,0.5715679714939224,0.5715679714939221,0.5715679714939226,0.5715679714939226
Удельное сцепление грунта,0.5715679714939218,0.3122752326759149,0.21241141207298095,0.5715679714939221,0.5715679714939221,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998
"Модуль упругости, Eу",0.5715679714939217,0.31227523267591817,0.2124114120729845,0.5715679714939224,0.5715679714939224,1.0,1.0,1.0,1.0000000000000002,0.9999999999999997
"Модуль упругости, E (Мпа)",0.571567971493922,0.3122752326759225,0.21241141207298841,0.5715679714939221,0.5715679714939221,1.0,1.0,1.0,1.0000000000000007,0.9999999999999993
"Модуль деформации, E",0.5715679714939222,0.31227523267592017,0.21241141207298578,0.5715679714939226,0.5715679714939226,0.9999999999999998,1.0000000000000002,1.0000000000000007,1.0,0.9999999999999996
"Индекс конуса, CI (кПа)",0.5715679714939224,0.3122752326759269,0.2124114120729886,0.5715679714939226,0.5715679714939226,0.9999999999999998,0.9999999999999997,0.9999999999999993,0.9999999999999996,1.0
